date,direction,entry,target_or_stop,exit_date,exit,ticks,could_of_been_better
2007-12-12T16:00,short,2.04724,target,2007-12-13T17:00,2.03673,210,65
2007-12-19T09:00,long,2.01264,target,2007-12-19T10:00,2.01597,67,64
2007-12-20T09:00,long,1.99435,stopped,2007-12-20T10:00,1.99203,-46,42
2007-12-21T20:00,long,1.98426,stopped,2007-12-24T11:00,1.98095,-66,64
2008-01-15T13:00,short,1.96385,stopped,2008-01-15T14:00,1.96835,-90,74
2008-01-22T15:00,short,1.95230,stopped,2008-01-22T17:00,1.95995,-153,145
2008-02-19T12:00,long,1.94849,target,2008-02-19T13:00,1.95160,62,15
2008-02-20T10:00,long,1.94863,stopped,2008-02-20T11:00,1.94513,-70,68
2008-03-03T17:00,short,1.98248,stopped,2008-03-05T18:00,1.99378,-226,219
2008-03-11T00:00,long,2.01072,stopped,2008-03-11T09:00,2.00490,-116,113
2008-03-11T09:00,long,2.00759,target,2008-03-11T10:00,2.01068,62,6
2008-03-14T16:00,short,2.03681,target,2008-03-14T17:00,2.03396,57,9
2008-03-24T19:00,short,1.98549,stopped,2008-03-24T23:00,1.98782,-47,46
2008-04-24T09:00,long,1.97804,target,2008-04-24T10:00,1.98136,66,46
2008-05-02T17:00,long,1.97487,stopped,2008-05-05T13:00,1.97044,-89,78
2008-05-13T17:00,long,1.94654,stopped,2008-05-13T18:00,1.94254,-80,79
2008-05-13T18:00,long,1.94699,stopped,2008-05-14T09:00,1.94187,-102,84
2008-05-28T15:00,long,1.97347,target,2008-05-28T16:00,1.97655,62,3
2008-06-13T10:00,long,1.94353,target,2008-06-13T11:00,1.94417,13,0
2008-06-13T15:00,long,1.94412,stopped,2008-06-13T16:00,1.94110,-61,57
2008-06-17T11:00,short,1.96062,target,2008-06-17T13:00,1.95155,181,2
2008-06-23T09:00,long,1.97187,stopped,2008-06-23T10:00,1.96957,-46,41
2008-06-30T10:00,short,1.99435,target,2008-06-30T13:00,1.99216,44,29
2008-07-04T12:00,long,1.98253,stopped,2008-07-07T04:00,1.97938,-63,59
2008-07-14T20:00,short,1.99420,stopped,2008-07-15T03:00,1.99646,-45,32
2008-07-17T21:00,long,1.99898,target,2008-07-17T23:00,2.00309,82,28
2008-07-22T10:00,short,2.00284,stopped,2008-07-22T12:00,2.00448,-33,30
2008-07-30T16:00,long,1.97722,target,2008-07-30T18:00,1.97991,54,22
2008-08-06T14:00,long,1.95456,stopped,2008-08-06T15:00,1.95201,-51,46
2008-08-20T00:00,short,1.86667,target,2008-08-20T04:00,1.86518,30,34
2008-08-22T00:00,short,1.87763,target,2008-08-22T01:00,1.87595,33,8
2008-09-08T19:00,long,1.75438,stopped,2008-09-08T20:00,1.75293,-29,24
2008-09-18T09:00,short,1.81942,target,2008-09-18T10:00,1.81314,126,55
2008-09-18T15:00,short,1.82234,target,2008-09-18T16:00,1.81704,106,40
2008-09-25T00:00,long,1.84678,target,2008-09-25T01:00,1.84781,21,0
2008-10-06T10:00,long,1.75799,stopped,2008-10-06T11:00,1.75513,-57,47
2008-10-08T10:00,short,1.74979,target,2008-10-08T17:00,1.73397,316,184
2008-11-06T14:00,long,1.58825,stopped,2008-11-06T22:00,1.57185,-328,321
2008-11-12T01:00,long,1.53831,target,2008-11-12T02:00,1.54196,73,3
2008-11-12T11:00,long,1.53805,stopped,2008-11-12T12:00,1.53241,-113,80
2008-11-21T15:00,short,1.49702,target,2008-11-21T17:00,1.48798,181,60
2008-11-21T18:00,long,1.48129,target,2008-11-21T23:00,1.49256,225,107
2008-12-23T18:00,long,1.47603,stopped,2008-12-24T12:00,1.46719,-177,144
2009-01-15T17:00,long,1.45644,target,2009-01-15T21:00,1.46538,179,35
2009-01-16T02:00,short,1.46686,stopped,2009-01-16T03:00,1.46938,-50,48
2009-01-26T15:00,short,1.38806,stopped,2009-01-26T16:00,1.39075,-54,41
2009-01-29T06:00,long,1.41564,stopped,2009-01-29T08:00,1.41198,-73,71
2009-01-29T16:00,short,1.42824,stopped,2009-01-30T17:00,1.44134,-262,218
2009-03-05T00:00,short,1.41885,target,2009-03-05T01:00,1.41763,24,11
2009-03-12T03:00,short,1.38561,stopped,2009-03-12T05:00,1.39122,-112,100
2009-03-25T14:00,long,1.45930,target,2009-03-25T15:00,1.46417,97,51
2009-04-03T03:00,short,1.47345,target,2009-04-03T04:00,1.46967,76,26
